gene	SRR3581356	SRR3581681	SRR3581703	SRR3581727	SRR3581836	SRR3581847	SRR3581866	SRR3581867	SRR3581869	SRR3581889	SRR3581893	SRR3581894
AT5G14130.1	1.258907	0.000000	0.000000	7.765339	4.258828	0.000000	0.000000	0.000000	0.000000	9.695985	0.000000	0.000000
AT5G16240.1	3.876730	5.433108	4.642387	21.482239	3.628530	6.070076	32.012920	18.891554	4.180950	21.671524	7.603198	2.460148
AT5G16650.1	15.509099	21.500288	33.452351	23.731358	15.445799	17.371544	14.901031	28.199835	30.510519	25.787674	28.219030	25.927774
AT5G16710.1	12.982137	90.335106	142.573700	31.299850	15.084126	95.428566	63.223694	57.126793	138.828445	25.970573	34.074532	48.755711
AT5G19690.1	90.386452	37.393848	66.241684	104.207695	89.805046	34.649921	75.522522	119.281311	65.199867	102.716049	51.948097	110.904388
AT5G24080.1	0.000000	0.125764	0.000000	0.000000	0.048466	0.097743	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT5G26340.1	2.060998	102.517143	3.329964	9.925662	0.000000	78.732674	0.315351	0.000000	4.577291	10.169002	1.898456	62.816933
AT5G28540.1	290.337433	83.374596	143.363129	460.660431	290.147217	74.813675	251.709656	320.516083	144.281677	439.001190	279.420837	412.850739
AT5G37150.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT5G38250.1	0.000000	0.095593	0.000000	0.000000	0.000000	0.068292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT5G38280.1	8.559041	0.000000	0.000000	0.000000	15.215488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.274398
AT5G40880.1	7.468123	5.157848	3.730645	7.534930	8.248197	4.288630	7.918701	4.596749	3.359880	6.598180	2.984826	5.543293
AT5G41770.1	41.693291	22.492128	30.793842	49.219944	45.317886	20.023476	43.525925	49.277077	30.418573	47.828609	46.310123	53.949547
AT5G42280.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT5G47540.1	19.032330	10.699668	5.801192	9.746868	19.657265	0.976461	0.000000	4.632617	15.001659	0.000000	0.000000	37.976181
AT5G47780.1	42.512005	31.204596	38.969234	72.868126	42.695503	34.357395	67.813103	59.014881	38.520817	71.036484	39.770168	50.135365
AT5G48900.1	24.084848	0.432031	26.559364	27.049149	25.110405	4.190108	2.974803	0.919247	32.311028	23.373373	0.000000	18.715584
